ename,norm,normargu,valuefrom,modifier,name,style,comment,AddNeg
Decision1,evtmax_1,NA,Decision1_evt,NA,Decision1_evt,multiply,parametric,FALSE
Decision2,evtmax_1,NA,Decision2_evt,NA,Decision2_evt,multiply,taskness,FALSE
Outcome,evtmax_1,NA,Outcome_evt,NA,Outcome_evt,multiply,parametric,FALSE
Decision1,evtmax_1,NA,Reinf_lag,NA,Feedback_lag_d1,multiply,parametric,TRUE
Decision1,evtmax_1,NA,Tran_lag,NA,Transit_lag_d1_RareGrtComm,multiply,parametric,TRUE
Decision2,evtmax_1,NA,RareReinf_lag,NA,RareReinf_lag_d1,multiply,parametric,TRUE
Decision2,evtmax_1,NA,Tran,NA,Transit_d2_RareGrtComm,multiply,parametric,TRUE
Decision2,evtmax_1,NA,Reinf_lag,NA,Feedback_lag_d2,multiply,parametric,TRUE
Outcome,evtmax_1,NA,Reinf,NA,Reinf_Outcome,multiply,parametric,TRUE
Outcome,evtmax_1,NA,RareReinf,NA,RareReinf_Outcome,multiply,parametric,TRUE
Outcome,evtmax_1,NA,Tran,NA,Transition_outcome,multiply,parametric,TRUE
Outcome,evtmax_1,NA,delta_2,NA,RPE_stage2_outcome,multiply,parametric,TRUE
Decision2,evtmax_1,NA,RPE_MB,NA,RPE_stage1_dec2,multiply,parametric,TRUE
