ename,norm,normargu,valuefrom,modifier,name,style,comment,AddNeg
Decision1,evtmax_1,NA,Decision1_evt,NA,Decision1_evt,multiply,parametric,FALSE
Decision2,evtmax_1,NA,Decision2_evt,NA,Decision2_evt,multiply,taskness,FALSE
Outcome,evtmax_1,NA,Outcome_evt,NA,Outcome_evt,multiply,parametric,FALSE
SharkBlock,evtmax_1,NA,SharkBlock_evt,NA,SharkBlock_evt,multiply,parametric,TRUE
Decision1,evtmax_1,NA,Reinf_lag,NA,Feedback_lag_d1,multiply,parametric,TRUE
Decision1,evtmax_1,NA,Tran_lag,NA,Transit_lag_d1_RareGrtComm,multiply,parametric,TRUE
Decision2,evtmax_1,NA,RareNotReinf_lag,NA,RareNotReinf_lag_d1,multiply,parametric,TRUE
Decision2,evtmax_1,NA,Tran,NA,Transit_d2_RareGrtComm,multiply,parametric,TRUE
Decision2,evtmax_1,NA,Reinf_lag,NA,Feedback_lag_d2,multiply,parametric,TRUE
Outcome,evtmax_1,NA,Reinf,NA,Reinf_Outcome,multiply,parametric,TRUE
Outcome,evtmax_1,NA,RareNotReinf,NA,RareNotReinf_Outcome,multiply,parametric,TRUE
SharkBlock,evtmax_1,NA,SharkBlockValue,NA,SharkEffect,multiply,parametric,TRUE
